Tagset	Seed	Epoch	Dataset	Loss	Accuracy.seqeval	Precision.seqeval	Recall.seqeval	F1.seqeval	Accuracy.NCRFpp	Precision.NCRFpp	Recall.NCRFpp	F1.NCRFpp
BIO	5	1	Dev	33726.77685546875	0.9761107433511156	0.8851820491109229	0.8796701447324133	0.8824174896598295	0.9761107433511156	0.8857820708354516	0.8796701447324133	0.8827155281600946
BIO	5	1	Test	33726.77685546875	0.969570367179929	0.8565348466040078	0.8551699716713881	0.8558518649774075	0.969570367179929	0.8566867683575736	0.8551699716713881	0.8559276980329612
BIO	5	2	Dev	16383.043762207031	0.9812507301117558	0.9110471026770586	0.9049141703130259	0.9079702803107058	0.9812507301117558	0.91166497117667	0.9049141703130259	0.908277027027027
BIO	5	2	Test	16383.043762207031	0.9732744696888124	0.8768244927020292	0.8721671388101983	0.8744896147701047	0.9732744696888124	0.8768244927020292	0.8721671388101983	0.8744896147701047
BIO	5	3	Dev	13592.156677246094	0.9815427748140648	0.9082615306639635	0.9047458768091552	0.9065002950847316	0.9815427748140648	0.9088757396449704	0.9047458768091552	0.9068061060976639
BIO	5	3	Test	13592.156677246094	0.9727576181759449	0.8748231966053748	0.8760623229461756	0.8754423213021938	0.9727576181759449	0.8749778956675508	0.8760623229461756	0.8755197735114572
BIO	5	4	Dev	12211.597442626953	0.9824578482146333	0.9216449483838213	0.9165264220801077	0.9190785587714118	0.9824578482146333	0.9219570001692907	0.9165264220801077	0.9192336906068023
BIO	5	4	Test	12211.597442626953	0.9743727791536556	0.88898756660746	0.8861543909348442	0.8875687178577762	0.9743727791536556	0.88898756660746	0.8861543909348442	0.8875687178577762
BIO	5	5	Dev	10919.850830078125	0.984112768194385	0.9197582675843545	0.9220801077078424	0.9209177241785024	0.984112768194385	0.9200671704450042	0.9220801077078424	0.9210725392956206
BIO	5	5	Test	10919.850830078125	0.9779476687843222	0.895656779661017	0.8981940509915014	0.8969236209335221	0.9779476687843222	0.895656779661017	0.8981940509915014	0.8969236209335221
BIO	5	6	Dev	9956.892227172852	0.9847357968926443	0.9236602628918099	0.922416694715584	0.923038059952846	0.9847357968926443	0.9241274658573596	0.922416694715584	0.9232712877958392
BIO	5	6	Test	9956.892227172852	0.9776461720684828	0.8961429582448691	0.8967776203966006	0.8964601769911504	0.9776461720684828	0.8961429582448691	0.8967776203966006	0.8964601769911504
BIO	5	7	Dev	9340.884132385254	0.9846773879521825	0.9261133603238867	0.9239313362504208	0.9250210614995787	0.9846773879521825	0.9264259196760041	0.9239313362504208	0.9251769464105157
BIO	5	7	Test	9340.884132385254	0.9782491655001615	0.9002480510276399	0.8996104815864022	0.899929153382926	0.9782491655001615	0.9002480510276399	0.8996104815864022	0.899929153382926
BIO	5	8	Dev	8680.787384033203	0.9855729917059305	0.9348750212548886	0.9252776842813868	0.9300515943499958	0.9855729917059305	0.9348750212548886	0.9252776842813868	0.9300515943499958
BIO	5	8	Test	8680.787384033203	0.9783137719392699	0.9052894924946391	0.8969546742209632	0.9011028103877625	0.9783137719392699	0.9052894924946391	0.8969546742209632	0.9011028103877625
BIO	5	9	Dev	8221.618896484375	0.9857482185273159	0.9334687658710005	0.9279703803433188	0.9307114524432442	0.9857482185273159	0.9336268201828649	0.9279703803433188	0.9307900067521944
BIO	5	9	Test	8221.618896484375	0.9786583396145149	0.9020581973030518	0.9001416430594901	0.9010989010989011	0.9786583396145149	0.9020581973030518	0.9001416430594901	0.9010989010989011
BIO	5	10	Dev	7803.267150878906	0.9858066274677777	0.9335021097046413	0.9308313699091215	0.9321648268307071	0.9858066274677777	0.9335021097046413	0.9308313699091215	0.9321648268307071
BIO	5	10	Test	7803.267150878906	0.977172391515021	0.8990971853425385	0.8992563739376771	0.8991767725944941	0.977172391515021	0.8990971853425385	0.8992563739376771	0.8991767725944941
BIO	5	11	Dev	7461.452278137207	0.9864491258128577	0.9338383838383838	0.9335240659710535	0.9336811984514393	0.9864491258128577	0.9338383838383838	0.9335240659710535	0.9336811984514393
BIO	5	11	Test	7461.452278137207	0.9775384946699688	0.8991864166961443	0.9001416430594901	0.8996637763227747	0.9775384946699688	0.8991864166961443	0.9001416430594901	0.8996637763227747
BIO	5	12	Dev	7024.075874328613	0.987033215217476	0.9385682856659333	0.9333557724671828	0.9359547717492195	0.987033215217476	0.9385682856659333	0.9333557724671828	0.9359547717492195
BIO	5	12	Test	7024.075874328613	0.979325939485302	0.9080869255432846	0.9026203966005666	0.9053454093411472	0.979325939485302	0.9080869255432846	0.9026203966005666	0.9053454093411472
BIO	5	13	Dev	6575.691024780273	0.9865270044001402	0.9370676564872616	0.9347021204981488	0.9358833937147191	0.9865270044001402	0.937542201215395	0.9347021204981488	0.9361200067419518
BIO	5	13	Test	6575.691024780273	0.9780984171422419	0.9011339475549256	0.9004957507082153	0.9008147360963515	0.9780984171422419	0.9011339475549256	0.9004957507082153	0.9008147360963515
BIO	5	14	Dev	6560.740005493164	0.9875004867411705	0.939450160229381	0.9373948165600808	0.9384213629854266	0.9875004867411705	0.939450160229381	0.9373948165600808	0.9384213629854266
BIO	5	14	Test	6560.740005493164	0.9800581457951976	0.9106761565836299	0.9061614730878187	0.9084132055378061	0.9800581457951976	0.9106761565836299	0.9061614730878187	0.9084132055378061
BIO	5	15	Dev	6203.932922363281	0.9877925314434796	0.9430165708488333	0.938572871087176	0.9407894736842105	0.9877925314434796	0.9430165708488333	0.938572871087176	0.9407894736842105
BIO	5	15	Test	6203.932922363281	0.9785075912565953	0.9050925925925926	0.8999645892351275	0.9025213068181818	0.9785075912565953	0.9050925925925926	0.8999645892351275	0.9025213068181818
BIO	5	16	Dev	6058.775131225586	0.9876173046220942	0.9418918918918919	0.9384045775833053	0.9401450008430281	0.9876173046220942	0.9420510221321169	0.9384045775833053	0.9402242643959194
BIO	5	16	Test	6058.775131225586	0.9792828685258964	0.9053023585742153	0.9038597733711048	0.9045804908301586	0.9792828685258964	0.9053023585742153	0.9038597733711048	0.9045804908301586
BIO	5	17	Dev	5854.892204284668	0.9884739690822009	0.9473327688399661	0.9414338606529788	0.9443741031484765	0.9884739690822009	0.9476537353887854	0.9414338606529788	0.9445335584634867
BIO	5	17	Test	5854.892204284668	0.9794336168838161	0.9092368045649073	0.9027974504249292	0.9060056858564322	0.9794336168838161	0.9092368045649073	0.9027974504249292	0.9060056858564322
BIO	5	18	Dev	5704.450286865234	0.987773061796659	0.9432588075880759	0.93722652305621	0.9402329900388317	0.987773061796659	0.9435784479837344	0.93722652305621	0.9403917595406956
BIO	5	18	Test	5704.450286865234	0.979670507160547	0.9095934379457917	0.9031515580736544	0.90636105188344	0.979670507160547	0.9095934379457917	0.9031515580736544	0.90636105188344
BIO	5	19	Dev	5331.8062744140625	0.988415560141739	0.9430497051390059	0.9419387411645911	0.9424938957649237	0.988415560141739	0.9433676049216249	0.9419387411645911	0.9426526315789474
BIO	5	19	Test	5331.8062744140625	0.9795628297620329	0.9051418439716312	0.9038597733711048	0.904500354358611	0.9795628297620329	0.9051418439716312	0.9038597733711048	0.904500354358611
BIO	5	20	Dev	5189.565139770508	0.9879093493244032	0.9428041167538384	0.9404240996297543	0.9416126042632066	0.9879093493244032	0.9431223628691983	0.9404240996297543	0.9417712985590293
BIO	5	20	Test	5189.565139770508	0.9787444815333262	0.9064441682939819	0.9040368271954674	0.9052388972608811	0.9787444815333262	0.9064441682939819	0.9040368271954674	0.9052388972608811
BIO	5	21	Dev	5120.7177734375	0.9881624547330712	0.9431031571838595	0.9400875126220128	0.9415929203539823	0.9881624547330712	0.9434217193041716	0.9400875126220128	0.9417516648402596
BIO	5	21	Test	5120.7177734375	0.9796920426402498	0.9086375779162956	0.9033286118980169	0.9059753174109917	0.9796920426402498	0.9086375779162956	0.9033286118980169	0.9059753174109917
BIO	5	22	Dev	5034.377899169922	0.9882013940267124	0.9436667228875021	0.9416021541568496	0.9426333080616628	0.9882013940267124	0.9439851526910747	0.9416021541568496	0.9427921476114247
BIO	5	22	Test	5034.377899169922	0.9788090879724346	0.903672166045769	0.9019121813031161	0.90279131590607	0.9788090879724346	0.903672166045769	0.9019121813031161	0.90279131590607
BIO	5	23	Dev	4747.732971191406	0.9881429850862505	0.9406023893656402	0.9407606866374958	0.9406815313420277	0.9881429850862505	0.9409190371991247	0.9407606866374958	0.9408398552554069
BIO	5	23	Test	4747.732971191406	0.98023042963282	0.9074663835810333	0.9081090651558074	0.9077876106194691	0.98023042963282	0.9074663835810333	0.9081090651558074	0.9077876106194691
BIO	5	24	Dev	4701.921936035156	0.9879872279116857	0.9453283683141503	0.939919219118142	0.9426160337552744	0.9879872279116857	0.9458086367485182	0.939919219118142	0.9428547311555667
BIO	5	24	Test	4701.921936035156	0.9797997200387638	0.9095441595441596	0.9043909348441926	0.9069602272727274	0.9797997200387638	0.9095441595441596	0.9043909348441926	0.9069602272727274
BIO	5	25	Dev	4563.335296630859	0.987870410030762	0.9422656118498569	0.9421070346684618	0.9421863165867205	0.987870410030762	0.942582926418589	0.9421070346684618	0.9423449204612407
BIO	5	25	Test	4563.335296630859	0.9793044040055993	0.9050487156775908	0.9045679886685553	0.9048082883201983	0.9793044040055993	0.9050487156775908	0.9045679886685553	0.9048082883201983
BIO	5	26	Dev	4444.441940307617	0.9881429850862505	0.9418996295048838	0.941265567149108	0.9415824915824917	0.9881429850862505	0.9422169811320755	0.941265567149108	0.9417410338440816
BIO	5	26	Test	4444.441940307617	0.979218262086788	0.9047703493527222	0.9033286118980169	0.9040489058208558	0.979218262086788	0.9047703493527222	0.9033286118980169	0.9040489058208558
BIO	5	27	Dev	4346.597732543945	0.9881624547330712	0.9428619585369965	0.9414338606529788	0.9421473684210527	0.9881624547330712	0.9433389544688027	0.9414338606529788	0.9423854447439353
BIO	5	27	Test	4346.597732543945	0.98023042963282	0.9096396236463696	0.9072237960339944	0.9084301037142098	0.98023042963282	0.9096396236463696	0.9072237960339944	0.9084301037142098
BIO	5	28	Dev	4322.716278076172	0.987870410030762	0.9438715131022823	0.9395826321104005	0.941722189423969	0.987870410030762	0.9443504736129905	0.9395826321104005	0.9419605196558124
BIO	5	28	Test	4322.716278076172	0.9795628297620329	0.9075226747287924	0.9035056657223796	0.9055097151982966	0.9795628297620329	0.9075226747287924	0.9035056657223796	0.9055097151982966
BIO	5	29	Dev	4163.355567932129	0.9883960904949184	0.943275542837906	0.9431167956916863	0.9431961625852058	0.9883960904949184	0.9437521050858875	0.9431167956916863	0.9434343434343435
BIO	5	29	Test	4163.355567932129	0.9793905459244104	0.9042477876106195	0.9045679886685553	0.9044078597981944	0.9793905459244104	0.9042477876106195	0.9045679886685553	0.9044078597981944
BIO	5	30	Dev	4180.284255981445	0.988512908375842	0.9440700808625337	0.9431167956916863	0.9435931975079979	0.988512908375842	0.9443882709807887	0.9431167956916863	0.9437521050858875
BIO	5	30	Test	4180.284255981445	0.9797781845590611	0.9069643806485912	0.9061614730878187	0.9065627490921974	0.9797781845590611	0.9069643806485912	0.9061614730878187	0.9065627490921974
BIO	5	31	Dev	4062.232864379883	0.9879093493244032	0.9401680672268907	0.9414338606529788	0.9408005381769257	0.9879093493244032	0.9404841963685272	0.9414338606529788	0.9409587888982339
