Tagset	Seed	Epoch	Dataset	Loss	Accuracy.seqeval	Precision.seqeval	Recall.seqeval	F1.seqeval	Accuracy.NCRFpp	Precision.NCRFpp	Recall.NCRFpp	F1.NCRFpp
BMES	4	1	Dev	36920.16501235962	0.975546123593318	0.8951048951048951	0.8832043083136991	0.8891147818720881	0.975546123593318	0.8961748633879781	0.8832043083136991	0.8896423122563146
BMES	4	1	Test	36920.16501235962	0.9668784322170776	0.8540328336902213	0.8473796033994334	0.850693210095983	0.9668784322170776	0.854006782081028	0.8472025495750708	0.8505910585725713
BMES	4	2	Dev	16807.549835205078	0.9794984618979011	0.9134272619249703	0.905587344328509	0.9094904081805122	0.9794984618979011	0.9142031940197077	0.905587344328509	0.9098748731822793
BMES	4	2	Test	16807.549835205078	0.9713147410358566	0.8802213495180293	0.8730524079320113	0.8766222222222223	0.9713147410358566	0.8798643341663691	0.8726983002832861	0.8762666666666666
BMES	4	3	Dev	13633.152797698975	0.9816011837545267	0.9194392839047458	0.9161898350723662	0.9178116833853156	0.9816011837545267	0.9203584714237403	0.9160215415684955	0.9181848852901484
BMES	4	3	Test	13633.152797698975	0.9740712824378163	0.8874955845990816	0.8896954674220963	0.8885941644562335	0.9740712824378163	0.887299063769652	0.8893413597733711	0.8883190379343886
BMES	4	4	Dev	11989.300354003906	0.9828667107978661	0.9207041072925398	0.9242679232581622	0.9224825732762241	0.9828667107978661	0.9208452121415395	0.9240996297542915	0.9224695506089878
BMES	4	4	Test	11989.300354003906	0.9735759664046517	0.8832309043020193	0.8905807365439093	0.8868905933174647	0.9735759664046517	0.8831898823116108	0.8902266288951841	0.8866942950357112
BMES	4	5	Dev	10588.635684967041	0.9838207234920758	0.9259633181894666	0.9261191518007404	0.9260412284392091	0.9838207234920758	0.9259633181894666	0.9261191518007404	0.9260412284392091
BMES	4	5	Test	10588.635684967041	0.97501884354474	0.8895543420820856	0.8941218130311614	0.8918322295805741	0.97501884354474	0.8892020433327462	0.8937677053824362	0.8914790286975718
BMES	4	6	Dev	9579.337074279785	0.9840738289007437	0.9356099218484539	0.9267923258162235	0.9311802502536354	0.9840738289007437	0.9356099218484539	0.9267923258162235	0.9311802502536354
BMES	4	6	Test	9579.337074279785	0.9759664046516636	0.8986980560014268	0.8921742209631728	0.8954242558862728	0.9759664046516636	0.8985016054227614	0.8918201133144475	0.8951483916829571
BMES	4	7	Dev	9039.832946777344	0.9850667808885947	0.9333333333333333	0.9306630764052508	0.9319962922389821	0.9850667808885947	0.9334908845374746	0.9306630764052508	0.932074835664925
BMES	4	7	Test	9039.832946777344	0.9763971142457198	0.898281056175793	0.8974858356940509	0.8978832698609512	0.9763971142457198	0.8980857851825593	0.8971317280453258	0.8976085031000886
BMES	4	8	Dev	8264.115539550781	0.9850667808885947	0.9376271186440678	0.9309996634129922	0.9343016382367844	0.9850667808885947	0.9376271186440678	0.9309996634129922	0.9343016382367844
BMES	4	8	Test	8264.115539550781	0.9762463658878001	0.90227434257285	0.8990793201133145	0.9006739978715856	0.9762463658878001	0.902079260707304	0.8987252124645893	0.9003991130820399
BMES	4	9	Dev	7773.445617675781	0.9845605700712589	0.9327263530601922	0.9309996634129922	0.9318622083719365	0.9845605700712589	0.9327263530601922	0.9309996634129922	0.9318622083719365
BMES	4	9	Test	7773.445617675781	0.9768493593194788	0.9015406410483443	0.9013810198300283	0.901460823373174	0.9768493593194788	0.9013460857244067	0.9010269121813032	0.9011864706924031
BMES	4	10	Dev	7579.688934326172	0.984949963007671	0.9335357624831309	0.9313362504207338	0.9324347093513057	0.984949963007671	0.9336932680951577	0.9313362504207338	0.9325132698626676
BMES	4	10	Test	7579.688934326172	0.9772585334338323	0.9024260669381973	0.9022662889518414	0.9023461708720674	0.9772585334338323	0.9020718965822561	0.9019121813031161	0.90199203187251
BMES	4	11	Dev	7085.116142272949	0.985495113118648	0.9339717741935484	0.9355435880175025	0.9347570203463932	0.985495113118648	0.9341287178625441	0.9355435880175025	0.9348356175901791
BMES	4	11	Test	7085.116142272949	0.9775169591902659	0.9000881057268723	0.9043909348441926	0.9022343901792811	0.9775169591902659	0.8997356828193832	0.9040368271954674	0.9018811269098295
BMES	4	12	Dev	6704.031112670898	0.9861181418169075	0.9413758048119282	0.9350387075058902	0.9381965552178319	0.9861181418169075	0.9415353329944077	0.9350387075058902	0.9382757747192434
BMES	4	12	Test	6704.031112670898	0.9774308172714548	0.9071834992887624	0.9033286118980169	0.9052519517388218	0.9774308172714548	0.9068278805120911	0.9029745042492918	0.9048970901348474
BMES	4	13	Dev	6478.47119140625	0.986682761574705	0.9423826470089816	0.935880175025244	0.9391201553660391	0.986682761574705	0.9423826470089816	0.935880175025244	0.9391201553660391
BMES	4	13	Test	6478.47119140625	0.9777969204264025	0.9070843716625133	0.9022662889518414	0.9046689153204331	0.9777969204264025	0.9067283730865077	0.9019121813031161	0.9043138647257234
BMES	4	14	Dev	6144.342971801758	0.9868969276897317	0.9407407407407408	0.9404240996297543	0.9405823935364417	0.9868969276897317	0.940899141269574	0.9404240996297543	0.9406615604747075
BMES	4	14	Test	6144.342971801758	0.9784429848174868	0.9068575468363379	0.9084631728045326	0.907659649743499	0.9784429848174868	0.9065040650406504	0.9081090651558074	0.907305855298072
BMES	4	15	Dev	5926.862854003906	0.9866632919278844	0.9412757340533243	0.9387411645910468	0.9400067408156386	0.9866632919278844	0.9412757340533243	0.9387411645910468	0.9400067408156386
BMES	4	15	Test	5926.862854003906	0.9782707009798643	0.9069355980184005	0.9075779036827195	0.9072566371681415	0.9782707009798643	0.9065817409766455	0.9072237960339944	0.9069026548672566
BMES	4	16	Dev	5787.143417358398	0.9864101865192165	0.93957805907173	0.9368899360484685	0.9382320721328052	0.9864101865192165	0.9397366644159352	0.9368899360484685	0.9383111410753413
BMES	4	16	Test	5787.143417358398	0.9784860557768924	0.9076241134751774	0.9063385269121813	0.9069808646350106	0.9784860557768924	0.9072695035460993	0.9059844192634561	0.9066265060240962
BMES	4	17	Dev	5502.855331420898	0.9864101865192165	0.9405706567617761	0.9375631100639515	0.9390644753476612	0.9864101865192165	0.9407294832826748	0.9375631100639515	0.9391436277815239
BMES	4	17	Test	5502.855331420898	0.9783353074189728	0.9076704545454546	0.9050991501416431	0.9063829787234043	0.9783353074189728	0.9073153409090909	0.9047450424929179	0.9060283687943264
BMES	4	18	Dev	5293.805702209473	0.9869553366301935	0.9437404967055246	0.9400875126220128	0.9419104628614788	0.9869553366301935	0.9438999662047989	0.9400875126220128	0.9419898819561551
BMES	4	18	Test	5293.805702209473	0.9785291267362981	0.9087519971595952	0.9063385269121813	0.907543657477174	0.9785291267362981	0.9083969465648855	0.9059844192634561	0.9071890789823598
BMES	4	19	Dev	5118.124919891357	0.9865659436937814	0.94272681196148	0.9390777515987883	0.9408987437821432	0.9865659436937814	0.9428861101723556	0.9390777515987883	0.9409780775716694
BMES	4	19	Test	5118.124919891357	0.9786152686551093	0.9104185218165628	0.9050991501416431	0.907751043238924	0.9786152686551093	0.9100623330365093	0.9047450424929179	0.9073958980733375
BMES	4	20	Dev	4897.784267425537	0.9868190491024493	0.9457627118644067	0.9390777515987883	0.9424083769633508	0.9868190491024493	0.9457627118644067	0.9390777515987883	0.9424083769633508
BMES	4	20	Test	4897.784267425537	0.9785291267362981	0.9107905982905983	0.9056303116147308	0.908203125	0.9785291267362981	0.9104344729344729	0.9052762039660056	0.9078480113636364
BMES	4	21	Dev	4839.967849731445	0.9863712472255753	0.93891973750631	0.9390777515987883	0.938998737904922	0.9863712472255753	0.9390777515987883	0.9390777515987883	0.9390777515987883
BMES	4	21	Test	4839.967849731445	0.9782922364595671	0.9058240396530359	0.9059844192634561	0.9059042223599185	0.9782922364595671	0.9054699946893255	0.9056303116147308	0.9055501460564751
BMES	4	22	Dev	4627.356605529785	0.9866243526342432	0.939149436880148	0.9402558061258836	0.9397022958540072	0.9866243526342432	0.939149436880148	0.9402558061258836	0.9397022958540072
