Tagset	Seed	Epoch	Dataset	Loss	Accuracy.seqeval	Precision.seqeval	Recall.seqeval	F1.seqeval	Accuracy.NCRFpp	Precision.NCRFpp	Recall.NCRFpp	F1.NCRFpp
BIO	1	1	Dev	35906.43992614746	0.9781161169736381	0.8941136671177267	0.8895994614607876	0.891850852033069	0.9781161169736381	0.894398375359621	0.8894311679569169	0.8919078558771413
BIO	1	1	Test	35906.43992614746	0.9711855281576397	0.8586090957352681	0.8590651558073654	0.8588370652270112	0.9711855281576397	0.8587610619469026	0.8590651558073654	0.8589130819614091
BIO	1	2	Dev	16591.430633544922	0.9808613371753436	0.9071815718157181	0.9013800067317401	0.9042714840452474	0.9808613371753436	0.9076427724114556	0.9013800067317401	0.9045005488474204
BIO	1	2	Test	16591.430633544922	0.9741358888769247	0.8790954415954416	0.8741147308781869	0.8765980113636365	0.9741358888769247	0.8792520035618878	0.8741147308781869	0.876675841250111
BIO	1	3	Dev	13612.025360107422	0.9833534519683813	0.9185497470489039	0.9166947155839784	0.9176212938005391	0.9833534519683813	0.918859649122807	0.9166947155839784	0.917775905644482
BIO	1	3	Test	13612.025360107422	0.9755356950576074	0.8852429939694927	0.8836756373937678	0.8844586213007265	0.9755356950576074	0.8852429939694927	0.8836756373937678	0.8844586213007265
BIO	1	4	Dev	11900.164924621582	0.9825551964487365	0.9185849695328369	0.9133288455065635	0.9159493670886076	0.9825551964487365	0.9187404773996953	0.9133288455065635	0.9160266689172083
BIO	1	4	Test	11900.164924621582	0.9750834499838484	0.8874666666666666	0.8838526912181303	0.8856559921937371	0.9750834499838484	0.887624466571835	0.8838526912181303	0.8857345635202271
BIO	1	5	Dev	10831.327209472656	0.9837233752579728	0.9265056141544743	0.9165264220801077	0.9214890016920473	0.9837233752579728	0.9268209666439755	0.9165264220801077	0.9216449483838213
BIO	1	5	Test	10831.327209472656	0.9773231398729406	0.8982110912343471	0.8889872521246459	0.8935753692827907	0.9773231398729406	0.8982110912343471	0.8889872521246459	0.8935753692827907
BIO	1	6	Dev	9816.658325195312	0.9850667808885947	0.928087986463621	0.923089868731067	0.9255821802227473	0.9850667808885947	0.928087986463621	0.923089868731067	0.9255821802227473
BIO	1	6	Test	9816.658325195312	0.9778184559061053	0.89985770188545	0.8957152974504249	0.8977817213842059	0.9778184559061053	0.89985770188545	0.8957152974504249	0.8977817213842059
BIO	1	7	Dev	9039.619102478027	0.9851835987695183	0.9310636856368564	0.925109390777516	0.9280769880128313	0.9851835987695183	0.9312214128409283	0.925109390777516	0.9281553398058252
BIO	1	7	Test	9039.619102478027	0.9784645202971897	0.9025823686553873	0.8973087818696884	0.8999378495960224	0.9784645202971897	0.9025823686553873	0.8973087818696884	0.8999378495960224
BIO	1	8	Dev	8683.457946777344	0.9855145827654687	0.9300911854103343	0.9269606193200942	0.9285232636547539	0.9855145827654687	0.9300911854103343	0.9269606193200942	0.9285232636547539
BIO	1	8	Test	8683.457946777344	0.9782491655001615	0.9007957559681697	0.9019121813031161	0.901353622931965	0.9782491655001615	0.9007957559681697	0.9019121813031161	0.901353622931965
BIO	1	9	Dev	8257.810111999512	0.9859039757018808	0.9322319622387053	0.9306630764052508	0.9314468586828366	0.9859039757018808	0.932389141797336	0.9306630764052508	0.9315253095258149
BIO	1	9	Test	8257.810111999512	0.9784860557768924	0.9006552151584912	0.9004957507082153	0.9005754758742808	0.9784860557768924	0.9006552151584912	0.9004957507082153	0.9005754758742808
BIO	1	10	Dev	7596.369567871094	0.9861570811105487	0.9335469725080114	0.9315045439246045	0.9325246398786959	0.9861570811105487	0.9335469725080114	0.9315045439246045	0.9325246398786959
BIO	1	10	Test	7596.369567871094	0.9785506622160008	0.9019155728981908	0.9003186968838527	0.9011164274322169	0.9785506622160008	0.9019155728981908	0.9003186968838527	0.9011164274322169
BIO	1	11	Dev	7206.217609405518	0.986585413340602	0.9361162751394287	0.9321777179400875	0.9341428450965511	0.986585413340602	0.9361162751394287	0.9321777179400875	0.9341428450965511
BIO	1	11	Test	7206.217609405518	0.9785721976957037	0.8995385161519347	0.8973087818696884	0.8984222655557526	0.9785721976957037	0.8995385161519347	0.8973087818696884	0.8984222655557526
BIO	1	12	Dev	6882.313667297363	0.9864685954596784	0.9326939256267878	0.9328508919555705	0.9327724021876315	0.9864685954596784	0.9326939256267878	0.9328508919555705	0.9327724021876315
BIO	1	12	Test	6882.313667297363	0.9784860557768924	0.901095019427764	0.9033286118980169	0.902210433244916	0.9784860557768924	0.901095019427764	0.9033286118980169	0.902210433244916
BIO	1	13	Dev	6694.787994384766	0.986137611463728	0.93488922712667	0.9303264893975093	0.9326022775200338	0.986137611463728	0.93488922712667	0.9303264893975093	0.9326022775200338
BIO	1	13	Test	6694.787994384766	0.9781414881016475	0.899645390070922	0.898371104815864	0.8990077958894401	0.9781414881016475	0.899645390070922	0.898371104815864	0.8990077958894401
BIO	1	14	Dev	6274.780059814453	0.9867217008683462	0.9376478540047313	0.9338606529787951	0.9357504215851603	0.9867217008683462	0.9376478540047313	0.9338606529787951	0.9357504215851603
BIO	1	14	Test	6274.780059814453	0.9799289329169807	0.9087041304733203	0.9075779036827195	0.9081406679068118	0.9799289329169807	0.9087041304733203	0.9075779036827195	0.9081406679068118
BIO	1	15	Dev	6204.878494262695	0.9871500330983995	0.9385031255279608	0.9348704140020195	0.9366832476182447	0.9871500330983995	0.9385031255279608	0.9348704140020195	0.9366832476182447
BIO	1	15	Test	6204.878494262695	0.979218262086788	0.9046610169491526	0.9072237960339944	0.905940594059406	0.979218262086788	0.9046610169491526	0.9072237960339944	0.905940594059406
BIO	1	16	Dev	5928.15327835083	0.9871500330983995	0.9409869425131423	0.9338606529787951	0.9374102542444464	0.9871500330983995	0.941146540027137	0.9338606529787951	0.9374894407839162
BIO	1	16	Test	5928.15327835083	0.9804027134704425	0.9131367292225201	0.9045679886685553	0.9088321622342791	0.9804027134704425	0.9131367292225201	0.9045679886685553	0.9088321622342791
BIO	1	17	Dev	5585.868148803711	0.9872473813325027	0.9400609549610566	0.9343655334904073	0.937204591492235	0.9872473813325027	0.9402201524132091	0.9343655334904073	0.9372837005148984
BIO	1	17	Test	5585.868148803711	0.9796920426402498	0.9084118797794771	0.9043909348441926	0.9063969479194393	0.9796920426402498	0.9084118797794771	0.9043909348441926	0.9063969479194393
BIO	1	18	Dev	5509.006942749023	0.9872668509793232	0.9376999494864455	0.93722652305621	0.9374631765002945	0.9872668509793232	0.9380158329122452	0.93722652305621	0.9376210118696859
BIO	1	18	Test	5509.006942749023	0.9804027134704425	0.9078365469662126	0.9086402266288952	0.9082382090080524	0.9804027134704425	0.9078365469662126	0.9086402266288952	0.9082382090080524
