Tagset	Seed	Epoch	Dataset	Loss	Accuracy.seqeval	Precision.seqeval	Recall.seqeval	F1.seqeval	Accuracy.NCRFpp	Precision.NCRFpp	Recall.NCRFpp	F1.NCRFpp
BMES	3	1	Dev	39225.12997055054	0.9734628713835131	0.8852570650323459	0.8751262201279031	0.8801624915368991	0.9734628713835131	0.8861428327935913	0.8749579266240323	0.8805148615462782
BMES	3	1	Test	39225.12997055054	0.9653278776784753	0.8463048911103177	0.8394121813031161	0.8428444444444445	0.9653278776784753	0.8468275245755138	0.8388810198300283	0.8428355421150938
BMES	3	2	Dev	16749.43751525879	0.9803161870643666	0.9117150573936529	0.9089532144059239	0.9103320411259059	0.9803161870643666	0.9124852170974826	0.9089532144059239	0.9107157912486299
BMES	3	2	Test	16749.43751525879	0.9698503284160654	0.8672425952045134	0.87092776203966	0.8690812720848057	0.9698503284160654	0.8673487387546305	0.8705736543909348	0.8689582044711497
BMES	3	3	Dev	13488.31494140625	0.9810755032903703	0.9134599227020669	0.9148434870414002	0.9141511813671908	0.9810755032903703	0.9136134453781513	0.9148434870414002	0.9142280524722503
BMES	3	3	Test	13488.31494140625	0.9732098632497039	0.8812489037011051	0.8895184135977338	0.8853643492818751	0.9732098632497039	0.8813618813618813	0.8891643059490085	0.8852459016393442
BMES	3	4	Dev	11860.867347717285	0.982574666095557	0.9254363667175055	0.919050824638169	0.9222325424301275	0.982574666095557	0.9255932203389831	0.919050824638169	0.9223104205370715
BMES	3	4	Test	11860.867347717285	0.9751480564229568	0.8959701757500443	0.8935906515580736	0.8947788316638595	0.9751480564229568	0.8956151251553346	0.8932365439093485	0.8944242531690453
BMES	3	5	Dev	10497.388427734375	0.9827304232701218	0.9314811658428498	0.919723998653652	0.9255652468456261	0.9827304232701218	0.9314811658428498	0.919723998653652	0.9255652468456261
BMES	3	5	Test	10497.388427734375	0.9753849466996878	0.9001434205808534	0.8889872521246459	0.8945305540709069	0.9753849466996878	0.8999462076385153	0.8886331444759207	0.8942538975501113
BMES	3	6	Dev	9487.230691432953	0.984210116428488	0.9393473432427815	0.9252776842813868	0.9322594319626961	0.984210116428488	0.9393473432427815	0.9252776842813868	0.9322594319626961
BMES	3	6	Test	9487.230691432953	0.9777107785075912	0.9093352445798244	0.8985481586402266	0.9039095199928756	0.9777107785075912	0.9089768858627486	0.8981940509915014	0.9035532994923858
BMES	3	7	Dev	8938.499515533447	0.9848136754799268	0.9356150457472043	0.9293167283742848	0.9324552516041879	0.9848136754799268	0.9356150457472043	0.9293167283742848	0.9324552516041879
BMES	3	7	Test	8938.499515533447	0.9773446753526435	0.9042118357917185	0.9008498583569405	0.9025277161862528	0.9773446753526435	0.9040170636331318	0.9004957507082153	0.9022529714387085
BMES	3	8	Dev	8207.268829345703	0.985495113118648	0.9378168300101386	0.9340289464826658	0.9359190556492413	0.985495113118648	0.9378168300101386	0.9340289464826658	0.9359190556492413
BMES	3	8	Test	8207.268829345703	0.9777753849466997	0.9040099361249113	0.9020892351274787	0.9030485643388869	0.9777753849466997	0.9036550745209369	0.9017351274787535	0.9026940801134349
BMES	3	9	Dev	7638.207275390625	0.985203068416339	0.9377121520706042	0.929821608885897	0.9337502112557039	0.985203068416339	0.9378713291461551	0.929821608885897	0.9338291219470971
BMES	3	9	Test	7638.207275390625	0.9757941208140412	0.8976686243103755	0.8930594900849859	0.8953581254992456	0.9757941208140412	0.8973126890905855	0.8927053824362606	0.8950031064169699
BMES	3	10	Dev	7303.2174072265625	0.9851251898290565	0.9378168300101386	0.9340289464826658	0.9359190556492413	0.9851251898290565	0.937975325333784	0.9340289464826658	0.935997976220592
BMES	3	10	Test	7303.2174072265625	0.9777323139872941	0.9054125998225377	0.9033286118980169	0.9043694053000088	0.9777323139872941	0.9052183173588925	0.9029745042492918	0.9040950186137211
