Tagset	Seed	Epoch	Dataset	Loss	Accuracy.seqeval	Precision.seqeval	Recall.seqeval	F1.seqeval	Accuracy.NCRFpp	Precision.NCRFpp	Recall.NCRFpp	F1.NCRFpp
BMES	1	1	Dev	71811.01177597046	0.9582960165102605	0.8243808859434949	0.795523392797038	0.8096951010620074	0.9582960165102605	0.8560537302595752	0.7936721642544597	0.8236835210898611
BMES	1	1	Test	71811.01177597046	0.9522127705394637	0.7805761913390107	0.7627478753541076	0.7715590579385689	0.9522127705394637	0.807852019630049	0.7577903682719547	0.7820208295267677
BMES	1	2	Dev	42507.33103847504	0.9669405396986098	0.8646105593308939	0.8350723662066645	0.8495847958222756	0.9669405396986098	0.8881131399928393	0.8349040727027937	0.8606870229007633
BMES	1	2	Test	42507.33103847504	0.9602239689889093	0.8290221977618786	0.8001062322946175	0.814307595278854	0.9602239689889093	0.8522856063468077	0.7988668555240793	0.8247121184426979
BMES	1	3	Dev	33661.79347932339	0.972625676570227	0.8859315589353612	0.8626725008414675	0.8741473396998637	0.972625676570227	0.9094306049822064	0.8601480982834062	0.8841030963501125
BMES	1	3	Test	33661.79347932339	0.9655432324755034	0.8522499544543632	0.828257790368272	0.840082607524468	0.9655432324755034	0.8773744592815498	0.8259560906515581	0.8508891928864569
BMES	1	4	Dev	29270.37462823093	0.9748452163077762	0.8938747653983962	0.8816896667788623	0.8877404049817842	0.9748452163077762	0.9174408413672217	0.8808481992595086	0.898772216021293
BMES	1	4	Test	29270.37462823093	0.9660170130289653	0.8463876967095851	0.8379957507082153	0.842170818505338	0.9660170130289653	0.8764357169321971	0.8376416430594901	0.8565996740901685
BMES	1	5	Dev	25531.144415199524	0.9765196059343484	0.9045243419920868	0.8848872433524066	0.8945980433857933	0.9765196059343484	0.9275490369323202	0.8833726018175698	0.9049219894836652
BMES	1	5	Test	25531.144415199524	0.968881231829439	0.8684976355038195	0.8454320113314447	0.8568096178001077	0.968881231829439	0.8929508811398575	0.8433073654390935	0.8674194135858678
BMES	1	6	Dev	22921.729729235172	0.9777072543904054	0.9021739130434783	0.8939750925614272	0.8980557903634827	0.9777072543904054	0.924134330955281	0.8938067990575563	0.9087175977414664
BMES	1	6	Test	22921.729729235172	0.9692473349843868	0.8614641131197422	0.8521600566572238	0.8567868268802848	0.9692473349843868	0.8865274440953613	0.8493271954674221	0.8675287096482504
BMES	1	7	Dev	20444.064112145454	0.9783302830886648	0.9147727272727273	0.8941433860652979	0.904340425531915	0.9783302830886648	0.9330874604847208	0.8941433860652979	0.913200412512891
BMES	1	7	Test	20444.064112145454	0.9706471411650694	0.8732113747509509	0.8535764872521246	0.8632822992210584	0.9706471411650694	0.8979705827592627	0.8539305949008499	0.8753970414738179
